doc_id,text,sex,age_cohort,political_id3,college
immigrant_interviews_0090,그나마 고르자면 잠깐만 머무니까 선호가 간다고 느낌 대한민국도 모든 사람이 잘 사는게 아니라 그 못사는 사람을 지원해줄지 언정 이민한 사람을 그닥 환영하고 싶지는 않음,Male,18-29,Centrist,Some college or more
immigrant_interviews_0091,단기근무를 위한 신청이라 심사를 까다롭게 할 이유가 적어서,Male,40-49,Centrist,Some college or more
immigrant_interviews_0092,한국에 필요한 사람인 것 같아서,Female,30-39,Conservative,Some college or more
immigrant_interviews_0093,언어 능력,Female,18-29,Progressive,No college
immigrant_interviews_0094,신뢰,Female,60+,Conservative,Some college or more
immigrant_interviews_0095,성실성,Female,50-59,Conservative,No college
immigrant_interviews_0096,한국에 이민오기위해 준비를 많이한걸로 판단되기 때문(예를들어 취업을 위해 이미 준비하고 취업이 된 상태로 신청한 사람들이기 때문에),Female,40-49,Progressive,Some college or more
immigrant_interviews_0097,언어,Male,60+,Progressive,Some college or more
immigrant_interviews_0098,노력이보임,Female,50-59,Centrist,Some college or more
immigrant_interviews_0099,자국의경제력이 좀더 나은 이민자들이 흡수되면 여러가지로 우리나라에 끼치는 영항력이 더 나을거 같아서,Female,50-59,Centrist,No college
immigrant_interviews_0100,사회적인 문제를 일으킬 만한 사람은 아닐것으로 간주되어서,Female,18-29,Conservative,Some college or more
immigrant_interviews_0101,재정착의 이유이기 때문에,Female,18-29,Centrist,Some college or more
immigrant_interviews_0102,"같은 민족, 한국어나 한국문화에 익숙한 사람을 우선으로 해야함",Male,30-39,Centrist,Some college or more
immigrant_interviews_0103,한국말도 어느 정도 할줄 알고 직장도 있고 동포이기 때문,Male,50-59,Centrist,Some college or more
immigrant_interviews_0104,베트남,Male,50-59,Centrist,Some college or more
immigrant_interviews_0105,한국과 친근함이 보임,Female,40-49,Progressive,Some college or more
immigrant_interviews_0106,한국에 정착해서 살아갈수 있을것 같은 사람,Male,60+,Progressive,No college
immigrant_interviews_0107,부단한노력,Female,50-59,Progressive,No college
immigrant_interviews_0108,"동포이고, 또 한국에서 구직활동하면서 생산성에 기여할 수 있어서",Male,50-59,Centrist,Some college or more
immigrant_interviews_0109,한국어도 유창하고 취업도 보장되므로 한국에서 살기에 어려움이 없을 것같아서,Female,50-59,Centrist,Some college or more
immigrant_interviews_0110,우리 사회와 동화될 수 있어서,Male,50-59,Centrist,Some college or more
immigrant_interviews_0111,연민,Male,18-29,Centrist,Some college or more
immigrant_interviews_0112,고용주와 계약 완료되서,Female,18-29,Progressive,Some college or more
immigrant_interviews_0113,한국에 살려는 의지,Male,60+,Conservative,Some college or more
immigrant_interviews_0114,취업이 확정이 되어서 선택하였습니다,Female,30-39,Centrist,Some college or more
immigrant_interviews_0115,"이민국 고유의 문화에 얼만큼 잘 어우러질 수 있는지, 토착민들과 잘 융합될 수 있는지의 여부를 따져봤다",Female,18-29,Progressive,Some college or more
immigrant_interviews_0116,한국어가 유창하고 재정착,Male,30-39,Progressive,Some college or more
immigrant_interviews_0117,어쨋든 우리 동포이면서 연구원이라서 우리 사회에 도움이 될듯해서,Female,50-59,Centrist,Some college or more
immigrant_interviews_0118,"첫째 동포이었으며, 두째는 취업 의지가 있었음.",Male,60+,Conservative,No college
immigrant_interviews_0119,나의주관,Male,40-49,Progressive,No college
immigrant_interviews_0120,우리나라에서 이점만 취하고 먹튀하려는지 여부를 가늠해봤음,Female,30-39,Conservative,Some college or more
immigrant_interviews_0121,확실한 동기가 있으며 우리나라에 필요 인력군임,Female,40-49,Progressive,Some college or more
immigrant_interviews_0122,이민을 좀 더 확실히 원하는 프로필이였다,Male,40-49,Centrist,Some college or more
immigrant_interviews_0123,같은 민족이기때문에,Female,30-39,Conservative,Some college or more
immigrant_interviews_0124,"특별한 이유 없고, 위험성이 낮으니까",Female,50-59,Conservative,No college
immigrant_interviews_0125,한국어 사용 가능여부 취업 의지 여부,Male,30-39,Centrist,Some college or more
immigrant_interviews_0126,조금이라도 의지가 보여서,Male,18-29,Centrist,Some college or more
immigrant_interviews_0127,동포이고 단기근무자이기때문에 바로 출국이 가능하기 때문,Female,50-59,Centrist,Some college or more
immigrant_interviews_0128,중국출신이 아님,Male,60+,Centrist,Some college or more
immigrant_interviews_0129,능력있는 이민자는 망명하는쪽이 좋아서,Male,18-29,Progressive,No college
immigrant_interviews_0130,우리와 같은 민족으로 비록 한국어를 잘 하지 못하더라도 곧 잘 정착하리라 보아서 선택함,Female,50-59,Centrist,No college
immigrant_interviews_0131,출신지와 개인이 처한 상황.그리고 우리말을 배우려고 하는 자세,Male,60+,Progressive,No college
immigrant_interviews_0132,그나마 최선책을 찾은것뿐이지 선호하는 프로필은 존재하지 않았다,Male,18-29,Centrist,No college
immigrant_interviews_0133,친절,Male,18-29,Progressive,No college
immigrant_interviews_0134,한국어을잘해서,Female,50-59,Progressive,Some college or more
immigrant_interviews_0135,특별한 이유는없다,Female,50-59,Conservative,Some college or more
immigrant_interviews_0136,없음,Male,50-59,Centrist,Some college or more
immigrant_interviews_0137,사회에 도움이될만한사람을뽑음,Female,30-39,Centrist,No college
immigrant_interviews_0138,한국어 가능여부 및 출신국,Male,30-39,Centrist,Some college or more
immigrant_interviews_0139,...........,Female,50-59,Progressive,No college
immigrant_interviews_0140,한국어 유창성,Female,18-29,Conservative,No college
immigrant_interviews_0141,2명중 그나마 괜찮은 사람인거같다,Male,18-29,Centrist,Some college or more
immigrant_interviews_0142,한국에 정착하려는 의지가 강하다,Female,40-49,Centrist,Some college or more
immigrant_interviews_0143,보기에좋다,Male,40-49,Centrist,Some college or more
immigrant_interviews_0144,자국에 도움이 되는 사람,Female,50-59,Centrist,No college
immigrant_interviews_0145,출신지가 미국이고 직업이 괜찮아서,Male,60+,Conservative,No college
immigrant_interviews_0146,우리나라에 들어와서 위험성이 조금이라도 적을 것이라고 생각된 쪽을 선택함,Male,30-39,Centrist,Some college or more
immigrant_interviews_0147,재정착,Male,50-59,Conservative,Some college or more
immigrant_interviews_0148,망명은 확시한 이유가 있어서,Male,50-59,Progressive,Some college or more
immigrant_interviews_0149,확실한 직업,Male,60+,Conservative,Some college or more
immigrant_interviews_0150,아무래도 교육 수준이 높은 사람이 더 적응하기 슁 ㄹ것 같애서요,Female,60+,Progressive,Some college or more
immigrant_interviews_0151,신뢰,Female,30-39,Centrist,Some college or more
immigrant_interviews_0152,동포,Male,30-39,Progressive,Some college or more
immigrant_interviews_0153,구직의사 및 출신국가가 중요하다고 생각함 동포라고 해서 다 같은 동포라고 생각진 않음,Male,30-39,Centrist,Some college or more
immigrant_interviews_0154,한국어의 사용정도,Male,40-49,Centrist,Some college or more
immigrant_interviews_0155,동포라는 이미지가 좋았다,Male,50-59,Centrist,Some college or more
immigrant_interviews_0156,"국적, 민족성, 적응가능성 등을 순서대로 가산함",Male,40-49,Centrist,Some college or more
immigrant_interviews_0157,예멘 출신의 종교를 선호하지 않기 때문임,Male,30-39,Conservative,Some college or more
immigrant_interviews_0158,신뢰가 있어서,Female,18-29,Progressive,Some college or more
immigrant_interviews_0159,특별한이유없음,Male,40-49,Progressive,Some college or more
immigrant_interviews_0160,면접을 기다린다는 점이 신뢰가 가서,Male,30-39,Conservative,Some college or more
immigrant_interviews_0161,한국어 사용 능력,Male,40-49,Progressive,Some college or more
immigrant_interviews_0162,한국어능력,Male,50-59,Centrist,No college
immigrant_interviews_0163,동포,Male,50-59,Progressive,Some college or more
immigrant_interviews_0164,열심히 살것 같다,Female,50-59,Conservative,Some college or more
immigrant_interviews_0165,우리동포,Male,30-39,Progressive,Some college or more
immigrant_interviews_0166,한국어가 어느정도 가능하여 정착후 어려움이 크지않을것이고 예멘인은 단기로 머무를 것이라고 하여 허가해주고싶지않음,Female,18-29,Conservative,Some college or more
immigrant_interviews_0167,좀 더 안전한 사람으로 여겨지고 계획이 있어보임,Female,18-29,Conservative,Some college or more
immigrant_interviews_0168,계획이 있어서 (어느정도),Male,18-29,Progressive,Some college or more
immigrant_interviews_0169,국적 직업 선호,Female,40-49,Progressive,Some college or more
immigrant_interviews_0170,경제적인 면,Male,40-49,Centrist,Some college or more
immigrant_interviews_0171,정상국가,Male,40-49,Progressive,Some college or more
immigrant_interviews_0172,신뢰도,Male,30-39,Progressive,Some college or more
immigrant_interviews_0173,"직업, 정착가능성",Male,40-49,Progressive,Some college or more
immigrant_interviews_0174,지금시기가 확정적이지 않아서,Male,40-49,Progressive,No college
immigrant_interviews_0175,취업이 완료된 사람이라면 정착하는데 수월할 것 같아서,Male,30-39,Centrist,Some college or more
immigrant_interviews_0176,너무 좋아요,Male,18-29,Centrist,No college
immigrant_interviews_0177,일을 할수있는 상태,Male,18-29,Centrist,Some college or more
immigrant_interviews_0178,모름,Female,40-49,Centrist,No college
immigrant_interviews_0179,우리나라 정착해서 잘 지낼거 같아서,Female,30-39,Centrist,No college
immigrant_interviews_0180,북한과 평화모드가 조성되길 바라는 마음에,Female,30-39,Centrist,Some college or more
immigrant_interviews_0181,이민이 좀더 필요해 보여서,Female,18-29,Centrist,Some college or more
immigrant_interviews_0182,일단 한국어를 잘한다는 점에서,Female,18-29,Centrist,Some college or more
immigrant_interviews_0183,필요하기 떄문,Male,40-49,Progressive,Some college or more
immigrant_interviews_0184,현실 적응력이 나을듯 함,Male,50-59,Centrist,Some college or more
immigrant_interviews_0185,한국어 소통이 가능하고 농사일을 하기 위하여 필요한 요건이 충족된다고 판단됩니다.,Male,50-59,Progressive,Some college or more
immigrant_interviews_0186,우리나라에 도움이 되고 단순 육체노동자가 아니라서,Female,40-49,Conservative,Some college or more
immigrant_interviews_0187,"원활한 한국어, 고용확인",Male,30-39,Centrist,Some college or more
immigrant_interviews_0188,고용완료,Male,18-29,Centrist,No college
immigrant_interviews_0189,우리나라 동포이니까,Male,40-49,Progressive,No college
immigrant_interviews_0190,국적에따른 호감도,Male,60+,Conservative,Some college or more
immigrant_interviews_0191,한국어가 가능하고 구직을 하였기 때문이다,Female,30-39,Centrist,Some college or more
immigrant_interviews_0192,한국에 오는 뚜렷한 계획이 있기 때문에,Female,18-29,Centrist,Some college or more
immigrant_interviews_0193,우리나라도 타민족의 이민을 유연하게 받아 들여야 한다고 생각함,Female,50-59,Progressive,No college
immigrant_interviews_0194,"선진국,어느정도 교육을 받은 지성인,국가에 이득이 될 수 있는 직업조건,여성",Male,40-49,Centrist,Some college or more
immigrant_interviews_0195,가장 우선은 조금이라도 국민에게 해가 될만한 여지가 있는지를 생각합니다.,Female,40-49,Centrist,Some college or more
immigrant_interviews_0196,"여성, 서투른 한국어라도 연습하였다는 점",Female,30-39,Centrist,Some college or more
immigrant_interviews_0197,조금더 안전하게 보인다.,Male,18-29,Progressive,Some college or more
immigrant_interviews_0198,"베트남과 관계가 좋아지고 있고, 의사로서 도움이 될 것 같음",Male,40-49,Progressive,Some college or more
immigrant_interviews_0199,둘다 싫지만 그나마 여성 후보자가 낫다. 예멘 국적 남성에 대한 편견이 있다,Female,18-29,Centrist,Some college or more
immigrant_interviews_0200,구직활동,Female,40-49,Centrist,Some college or more
immigrant_interviews_0201,언어적인 부분,Male,30-39,Centrist,Some college or more
immigrant_interviews_0202,없음,Male,50-59,Conservative,No college
immigrant_interviews_0203,한국과 더욱 가가운 나라에서 이민온 외국인,Male,40-49,Progressive,Some college or more
immigrant_interviews_0204,민족성 및 한국어 구사 가능 여부와 구직 계약 완료여부 등 복합적,Female,18-29,Progressive,Some college or more
immigrant_interviews_0205,"방금이 바로 앞의 예를 말하는지? 언어, 목적 등",Female,40-49,Progressive,Some college or more
immigrant_interviews_0206,한국어를 하고 확실한 직업이 있는 사람 그리고 우리 동포를 위주로.,Female,40-49,Progressive,Some college or more
immigrant_interviews_0207,"와서 문제를 일으킬 소지가 없고, 자기 자신을 부양할 준비가 되어 있어서",Male,18-29,Centrist,No college
immigrant_interviews_0208,"여성,재정착",Female,30-39,Progressive,Some college or more
immigrant_interviews_0209,직업을 얻기위해 한국으로 들어옴,Male,30-39,Centrist,Some college or more
immigrant_interviews_0210,같은 동족 이라서,Female,40-49,Progressive,Some college or more
immigrant_interviews_0211,의사소통을 할 수 있는 한국어를 하여서 입니다,Female,40-49,Progressive,No college
immigrant_interviews_0212,직업군,Male,18-29,Centrist,No college
immigrant_interviews_0213,출신국 때문에,Female,60+,Progressive,No college
immigrant_interviews_0214,구직이 정해져있기때문에,Male,50-59,Centrist,Some college or more
immigrant_interviews_0215,한국어를 말할수 있어서,Female,40-49,Conservative,Some college or more
immigrant_interviews_0216,여성,Male,18-29,Progressive,Some college or more
immigrant_interviews_0217,상대적으로 나아서,Male,50-59,Conservative,Some college or more
immigrant_interviews_0218,유창항 한국어,Male,60+,Conservative,Some college or more
immigrant_interviews_0219,더욱 간절해보였다 한국생활에 더 도움이 될거라 생각.,Female,18-29,Progressive,Some college or more
immigrant_interviews_0220,한국어 능력과 이미 한국업체와의 계약 완료,Male,18-29,Progressive,Some college or more
immigrant_interviews_0221,"구직이 되었거나, 구직계획이 있을 때만 허가",Male,18-29,Centrist,Some college or more
immigrant_interviews_0222,이민자로 적합해보임,Male,40-49,Centrist,Some college or more
immigrant_interviews_0223,보다 전문적인 지식을 가지고 있음,Male,40-49,Progressive,Some college or more
immigrant_interviews_0224,적응이 빠르고 분란의 소지가 적음,Male,60+,Progressive,Some college or more
immigrant_interviews_0225,북한 동포 출신의 우선 선택하였음,Male,50-59,Progressive,Some college or more
immigrant_interviews_0226,직업,Male,50-59,Progressive,Some college or more
immigrant_interviews_0227,망명을 하기 위한 신청이라면 사유를 확인햐여야 하겠지만 일단을 긍정적으로 받아들인후 면밀하게 조사를 해야함,Female,50-59,Centrist,No college
immigrant_interviews_0228,같은 민족이기때문에,Male,40-49,Centrist,Some college or more
immigrant_interviews_0229,프로필이 마음에 들어서,Female,50-59,Progressive,Some college or more
immigrant_interviews_0230,한국어를 할 줄 알아서,Female,40-49,Centrist,No college
immigrant_interviews_0231,우리 동포여서 동질감이 있기 때문에,Male,50-59,Centrist,Some college or more
immigrant_interviews_0232,각자의 뚜렷한 직업때문,Female,40-49,Centrist,Some college or more
immigrant_interviews_0233,불법 체류의 가능성이 상대적으로 적음,Male,40-49,Centrist,Some college or more
immigrant_interviews_0234,후보자의 의지,Male,18-29,Centrist,Some college or more
immigrant_interviews_0235,국내에서 취업예정임,Female,50-59,Centrist,Some college or more
immigrant_interviews_0236,동포,Male,50-59,Progressive,Some college or more
immigrant_interviews_0237,그냥,Male,60+,Progressive,Some college or more
immigrant_interviews_0238,한국어를 유창하게 구사함,Male,60+,Centrist,Some college or more
immigrant_interviews_0239,우리나라동포,Female,18-29,Centrist,Some college or more
immigrant_interviews_0240,진정성,Male,60+,Progressive,Some college or more
immigrant_interviews_0241,우리나라에 정착하고 적응하고자 하는 의지를 파악해 보았다.,Male,50-59,Centrist,Some college or more
immigrant_interviews_0242,한국어가능,Male,40-49,Centrist,Some college or more
immigrant_interviews_0243,동포,Female,40-49,Progressive,Some college or more
immigrant_interviews_0244,더 호감이 가서,Male,18-29,Centrist,Some college or more
immigrant_interviews_0245,망명아님,Male,60+,Conservative,Some college or more
immigrant_interviews_0246,장래에 국가나 미래에 도움이 될것같아서이다,Female,50-59,Progressive,Some college or more
immigrant_interviews_0247,동일민족,Male,50-59,Progressive,Some college or more
immigrant_interviews_0248,Fhhh,Female,30-39,Centrist,Some college or more
immigrant_interviews_0249,이민의 자격이 충분하기때문에 안전하다고 판단되어서,Male,30-39,Progressive,Some college or more
immigrant_interviews_0250,예맨 사람보다는 나을것 같아서,Female,18-29,Centrist,Some college or more
immigrant_interviews_0251,나와 맞는 성격이여서,Female,18-29,Progressive,Some college or more
immigrant_interviews_0252,좀 더 믿음이 가서,Female,40-49,Conservative,Some college or more
immigrant_interviews_0253,한국어능력,Male,30-39,Centrist,Some college or more
immigrant_interviews_0254,한국말이 가능하고 구직활동 등 뚜렷한계획이 있으므로,Female,18-29,Centrist,Some college or more
immigrant_interviews_0255,한국말을 하려고 노력했기 때문,Male,18-29,Centrist,No college
immigrant_interviews_0256,의사라는 직업과 한국어를 할 수 있다는 점 때문에,Male,40-49,Progressive,Some college or more
immigrant_interviews_0257,"방금 중국남성과 북한여성 중 고르는 문제는, 중국남성은 별다른 직업도 능력도 없어 한국사회에 도움이 되지 않을 것으로 보았기 때문. 둘 중 그나마 북한여성은 자립의지가 보였음.",Female,18-29,Centrist,Some college or more
immigrant_interviews_0258,동포라서,Female,40-49,Centrist,Some college or more
immigrant_interviews_0259,구직계획이 있는 동포이므로,Female,40-49,Conservative,Some college or more
immigrant_interviews_0260,이왕이면 동포니까.,Male,60+,Conservative,Some college or more
immigrant_interviews_0261,직업을 갖기 쉬울것 같아서,Female,30-39,Centrist,Some college or more
immigrant_interviews_0262,같은 민족이라서,Male,50-59,Centrist,Some college or more
immigrant_interviews_0263,미국이고 여자,Female,60+,Centrist,Some college or more
immigrant_interviews_0264,무난,Female,40-49,Conservative,No college
immigrant_interviews_0265,비교 대상보다 조건이 조은것 같음,Male,50-59,Progressive,Some college or more
immigrant_interviews_0266,한국어를 사용 할 수 있기 때문. 현 행정직을 하면서 외국인들을 많이 마주하는데 한국어를 하지 못하는 직원들은 너무 힘들고 솔직히 해결방법이 적어짐,Female,18-29,Progressive,Some college or more
immigrant_interviews_0267,"전반적으로 선홓사지 않고, 공부등을 이한 이민등은 유보적인 입장입니다.",Female,30-39,Conservative,Some college or more
immigrant_interviews_0268,한국어가 유창하기 때문에. 서로간 의사소통이 되지 않으면 함께 일을 할 수조차 없어서 한국어 유창자를 필요로 함,Female,40-49,Progressive,Some college or more
immigrant_interviews_0269,특별이유없음,Female,40-49,Progressive,Some college or more
immigrant_interviews_0270,"성별, 한국어구사 등 고려함",Male,40-49,Progressive,Some college or more
immigrant_interviews_0271,정착할 준비가 되었다,Male,40-49,Conservative,No college
immigrant_interviews_0272,한국어 가능,Female,40-49,Conservative,Some college or more
immigrant_interviews_0273,특별한 이유없음,Male,50-59,Conservative,No college
immigrant_interviews_0274,좀더 안정적으로 한국사회에 적응할수있다고 생각함.,Male,60+,Progressive,Some college or more
immigrant_interviews_0275,성실 할 것 같아서,Female,50-59,Conservative,Some college or more
immigrant_interviews_0276,직업이 있음,Male,40-49,Centrist,Some college or more
immigrant_interviews_0277,동포의 경우에 더 선호하게 되는 경향이 있었다.,Female,30-39,Conservative,Some college or more
immigrant_interviews_0278,한국어 능력,Female,18-29,Centrist,No college
immigrant_interviews_0279,언어습득력과 직업 부분,Female,40-49,Centrist,Some college or more
immigrant_interviews_0280,5566,Male,18-29,Centrist,Some college or more
immigrant_interviews_0281,직업 및 단기-정착 보고 고름. 안그래도 내국적으로도 취업이 어려운데 외국인까지 오면 더 곤란해서.,Female,18-29,Centrist,Some college or more
immigrant_interviews_0282,한국어를 할 줄 알아서,Male,18-29,Centrist,Some college or more
immigrant_interviews_0283,선호하기 보다는 둘중에 굳이 선택해야한다면,Female,30-39,Conservative,Some college or more
immigrant_interviews_0284,우선 사상적으로 안정 되어있느느것 같아서,Female,40-49,Conservative,No college
